event_id,event_title,date,description,region,agreement_check,agreement_link,event_type,subject_type,subject_topic,subject_story,organizer_type,organizer_name,detentions,ovd,place,links
1,Акции «Народ против незаконных выборов!»,2011-12-04,"Массовые задержания во время акций на Триумфальной, Красной и площади Революции сторонников бойкота парламентских выборов.",['recPrDrobUuRrCB6x'],,,собрание,политический протест,выборы,,институциональный протест,['recWOJLShxYzlltv4'],198,"['recuI001EdVNovK9e', 'recfb6X3YPJ58jspk', 'recOFgBnhdzcJFbQz', 'rec48POuHZIFZKgFj', 'recNzlAMjGLRE3Kue', 'recQtuofPNhEf8F6r', 'recowMmTy67V5q7rN']","Триумфальная, Площадь Революции, Красная площадь",http://namarsh-ru.livejournal.com/6144795.html
2,Митинг против массовых фальсификаций на парламентских выборах,2011-12-05,Массовые задержания после митинга на Чистопрудном бульваре против массовых фальсификаций на парламентских выборах.,['recPrDrobUuRrCB6x'],True,,собрание,политический протест,выборы,,институциональный протест,['recqhdSmCWM3cT8rI'],300,,Чистопрудный бульвар,http://ovdinfo.org/article/sergei-udaltsov-politicheskii-zaklyuchennyi
3,Митинг против массовых фальсификаций на парламентских выборах,2011-12-06,Массовые задержания во время митинг на Триумфальной площади против массовых фальсификаций на парламентских выборах.,['recPrDrobUuRrCB6x'],,,собрание,политический протест,выборы,,стихийный протест,,600,,Триумфальная площадь,http://ovdinfo.org/article/sergei-udaltsov-politicheskii-zaklyuchennyi
4,Митинг против массовых фальсификаций на парламентских выборах,2011-12-07,"Задержания возле Триумфальной площади, где планировалось провести митинг против массовых фальсификаций на парламентских выборах и массовых задержаний.",['recPrDrobUuRrCB6x'],,,собрание,политический протест,выборы,,стихийный протест,,70,"['reccMao3IjfHm9lKZ', 'recOFgBnhdzcJFbQz', 'rechzc7mbTt1H0JiC', 'reca5fWoNnTodN3BD', 'recQtuofPNhEf8F6r']",Триумфальная площадь,http://lenta.ru/news/2011/12/08/figures/
5,Одиночные пикеты в поддержку арестованных 4 декабря,2011-12-14,Задержания во время проведения серии одиночных пикетов возле спецприемника на Симферопольском бульваре.,['recPrDrobUuRrCB6x'],,,одиночный пикет,политический протест,политзаключенные,,активистский протест,,3,['recSZhs8B8rzdLbm9'],"у спецприемника для административно задержанных, Симферопольский бульвар, 2Г",http://ovdinfo.org/express-news/19
6,Митинг партии «Яблоко» против фальсификаций на парламентских выборах,2011-12-18,Задержание гражданских активистов за раздачу листовок во время согласованного митинга партии «Яблоко».,['recPrDrobUuRrCB6x'],True,,собрание,политический протест,выборы,,институциональный протест,['recVrjdj2FD3ePOdy'],2,,Болотная Площадь,http://ovdinfo.org/express-news/20
7,Акция «Не допустим самозванцев в парламент!»,2011-12-21,,['recPrDrobUuRrCB6x'],,,акция,политический протест,выборы,,институциональный протест,['reciOKrlvhSbIhHMl'],27,"['recOFgBnhdzcJFbQz', 'rechzc7mbTt1H0JiC', 'reca5fWoNnTodN3BD', 'rec48POuHZIFZKgFj']","у Государственной Думы, ул. Охотный ряд, д. 1","http://ovdinfo.org/express-news/29, http://ovdinfo.org/express-news/30, http://ovdinfo.org/express-news/31, http://ovdinfo.org/express-news/33, http://starshinazapasa.livejournal.com/323461.html"
8,Флешмоб «У меня украли голос»,2011-12-23,,['recPrDrobUuRrCB6x'],,,акция,политический протест,выборы,,институциональный протест,['reckIDN9MSFn5VztY'],30,,м Пушкинская,"http://ovdinfo.org/express-news/45, http://ovdinfo.org/express-news/47"
9,Митинг «За честные выборы!»,2011-12-24,Задержания на подходе к митингу.,['recPrDrobUuRrCB6x'],True,,собрание,политический протест,выборы,,институциональный протест,['reckIDN9MSFn5VztY'],10,,Проспект Сахарова,http://ovdinfo.org/express-news/49
10,Митинг возле здания Тверского мирового суда после ареста Сергея Удальцова,2011-12-25,"У мирового суда Тверского района Москвы, где было вынесено решение об административном аресте Сергея Удальцова, задержали трех человек.",['recPrDrobUuRrCB6x'],,,собрание,политический протест,политзаключенные,,стихийный протест,,3,,"У здания Тверского мирового суда, Новая площадь, д. 8",http://ovdinfo.org/express-news/57
11,Стратегия-31,2011-12-31,,['recPrDrobUuRrCB6x'],,,собрание,политический протест,свобода собраний,Стратегия-31,институциональный протест,['receb3xd5M7x38vN3'],62,,Триумфальная площадь,http://ovdinfo.org/express-news/70
12,Одиночные пикеты «Свободу Таисии Осиповой!»,2012-01-10,,['recPrDrobUuRrCB6x'],,,одиночный пикет,политический протест,политзаключенные,Таисия Осипова,институциональный протест,['reciOKrlvhSbIhHMl'],4,,"м. Новокузнецкая, м. Площадь Революции, м. Сокольники",http://ovdinfo.org/express-news/75
13,Митинг-презентация «Списка Чурова» ,2012-01-14,Лидер партии «ЯБЛОКО» Сергей Митрохин и организатор митинга-презентации «Списка Чурова» Майя Завьялова задержаны после окончания акции и доставлены в ОВД «Басманное». Во время акции был задержан мужчина с плакатом.,['recPrDrobUuRrCB6x'],True,,собрание,политический протест,выборы,,институциональный протест,['recVrjdj2FD3ePOdy'],3,,Чистопрудный бульвар,http://ovdinfo.org/express-news/77
14,Международная акция протеста против законопроекта «SOPA»,2012-01-18,,['recPrDrobUuRrCB6x'],,,собрание,групповой протест,другое,SOPA,институциональный протест,['recVoCVFHJEfiCV3H'],2,,"у здания посольства США, Большой Девятинский пер, д. 8",http://ovdinfo.org/express-news/78
15,Марш памяти Маркелова и Бабуровой,2012-01-19,,['recPrDrobUuRrCB6x'],True,,в движении,политический протест,антифа,,институциональный протест,['rechiT4llIUcgyMKS'],1,,Пушкинская площадь,http://ovdinfo.org/express-news/80
16,Акция Pussy Riot на Лобном месте,2012-01-20,,['recPrDrobUuRrCB6x'],,,акция,политический протест,против власти,,институциональный протест,['recmpJS7IRMkTYhqt'],8,,Красная площадь,http://ovdinfo.org/express-news/81
17,Раздача палаток «РосАгитом»,2012-01-24,,['recPrDrobUuRrCB6x'],,,акция,политический протест,выборы,,институциональный протест,['recd7SuSVBAvXks8Y'],1,,Пушкинская площадь,http://ovdinfo.org/express-news/83
18,Стратегия-31,2012-01-31,,['recPrDrobUuRrCB6x'],,,собрание,политический протест,свобода собраний,Стратегия-31,институциональный протест,['receb3xd5M7x38vN3'],48,,Триумфальная площадь,http://ovdinfo.org/express-news/86
19,Пикеты «Информационный прорыв»,2012-02-02,,['recPrDrobUuRrCB6x'],,,одиночный пикет,политический протест,выборы,,активистский протест,,1,,м Алтуфьево,http://ovdinfo.org/express-news/90
20,Акция «Остановим диктатуру!»,2012-02-07,,['recPrDrobUuRrCB6x'],,,собрание,политический протест,против власти,,институциональный протест,['reciOKrlvhSbIhHMl'],15,,"у ЦИК, Большой Черкасский Переулок, 9",http://ovdinfo.org/express-news/91
21,Акция «Стоп газовый шантаж»,2012-02-13,Активистки женского движения FEMEN ворвались с плакатами на территорию штаб-квартиры Газпрома в Москве. После акции одна из активисток была задержана.,['recPrDrobUuRrCB6x'],,,акция,политический протест,против власти,экономика,институциональный протест,,1,,"штаб-квартира «Газпрома», ул. Намёткина, дом 16",http://ovdinfo.org/express-news/94
22,Акция «Остановим диктатуру!»,2012-02-14,,['recPrDrobUuRrCB6x'],,,собрание,политический протест,против власти,,институциональный протест,['reciOKrlvhSbIhHMl'],23,,"у ЦИК, Большой Черкасский Переулок, 9","http://ovdinfo.org/express-news/99, http://ovdinfo.org/express-news/100"
23,Акция «Живая цепь свободных»,2012-02-18,,['recPrDrobUuRrCB6x'],,,одиночный пикет,политический протест,выборы,,институциональный протест,['reckIDN9MSFn5VztY'],13,,Тверская улица,http://ovdinfo.org/express-news/103
24,Акция «Москва сжимает белое кольцо»,2012-02-19,,['recPrDrobUuRrCB6x'],,,акция,политический протест,выборы,,институциональный протест,['reckIDN9MSFn5VztY'],3,,Крымский вал,"http://ovdinfo.org/express-news/110, http://ovdinfo.org/express-news/111"
25,Акция «Остановим диктатуру!»,2012-02-21,,['recPrDrobUuRrCB6x'],,,собрание,политический протест,против власти,,институциональный протест,['reciOKrlvhSbIhHMl'],25,,"у ЦИК, Большой Черкасский Переулок, 9",http://ovdinfo.org/express-news/112
26,Раздача докладов «Путин. Итоги»,2012-02-23,,['recPrDrobUuRrCB6x'],,,агитация,политический протест,против власти,,институциональный протест,['recqhdSmCWM3cT8rI'],18,,"м. Спортивная, м. Фрунзенская",http://ovdinfo.org/express-news/122
27,Пикет в поддержку Татьяны Стецуры,2012-02-25,,['recPrDrobUuRrCB6x'],,,собрание,политический протест,политзаключенные,Татьяна Стецура,активистский протест,,5,,"у спецприемника для административно задержанных, Симферопольский бульвар, 2Г",http://ovdinfo.org/express-news/125
28,Одиночные пикеты в поддержку Татьяны Стецуры,2012-02-26,,['recPrDrobUuRrCB6x'],,,одиночный пикет,политический протест,политзаключенные,Татьяна Стецура,активистский протест,,2,,Красная площадь,http://ovdinfo.org/express-news/127
29,Акция «Остановим диктатуру!»,2012-02-28,,['recPrDrobUuRrCB6x'],,,собрание,политический протест,против власти,,институциональный протест,['reciOKrlvhSbIhHMl'],16,,"у ЦИК, Большой Черкасский Переулок, 9",http://ovdinfo.org/express-news/132
30,Акция по раздаче палаток на Пушкинской площади,2012-02-29,,['recPrDrobUuRrCB6x'],,,акция,политический протест,выборы,,активистский протест,['recd7SuSVBAvXks8Y'],4,,Пушкинская площадь,http://ovdinfo.org/express-news/135
31,"Акция «5 марта, Сталин заждался»",2012-03-03,,['recPrDrobUuRrCB6x'],,,акция,политический протест,выборы,,институциональный протест,['recqhdSmCWM3cT8rI'],4,,Метро комсомольская,http://ovdinfo.org/express-news/136
32,Митинг «За честные выборы»,2012-03-05,,['recPrDrobUuRrCB6x'],True,,собрание,политический протест,выборы,,институциональный протест,['reckIDN9MSFn5VztY'],258,,"Лубянская площадь, Пушкинская площадь",http://ovdinfo.org/article/5-marta-spisok-zaderzhannykh
33,Задержания на Пушкинской площади,2012-03-06,,['recPrDrobUuRrCB6x'],,,собрание,политический протест,выборы,,активистский протест,,12,,Пушкинская площадь,"http://ovdinfo.org/express-news/186, https://lenta.ru/news/2012/03/06/push/"
34,Задержания на Пушкинской площади,2012-03-08,,['recPrDrobUuRrCB6x'],,,собрание,политический протест,выборы,,активистский протест,,20,,Пушкинская площадь,"http://ovdinfo.org/express-news/196, https://www.interfax.ru/russia/235004"
35,Прогулки с белыми лентами,2012-03-08,,['recPrDrobUuRrCB6x'],,,в движении,политический протест,выборы,,институциональный протест,['recqhdSmCWM3cT8rI'],7,,Красная площадь,http://ovdinfo.org/express-news/194
38,Митинг «За честные выборы»,2012-03-10,Задержание активистов после митинга «За честные выборы».,['recPrDrobUuRrCB6x'],True,,собрание,политический протест,выборы,,институциональный протест,['reckIDN9MSFn5VztY'],5,,ул Новый арбат,http://ovdinfo.org/express-news/202
37,Марш националистов на старом Арбате,2012-03-10,,['recPrDrobUuRrCB6x'],,,в движении,политический протест,выборы,националистическая,активистский протест,['recVFIdfyt6WNlK7K'],25,,Площадь Европы,http://ovdinfo.org/express-news/199
36,Пикет активиста партии «Яблоко»,2012-03-10,,['recPrDrobUuRrCB6x'],,,одиночный пикет,политический протест,выборы,,институциональный протест,['recVrjdj2FD3ePOdy'],1,,Тверская улица,http://ovdinfo.org/express-news/205
39,Акция против строительных работ в Большом Козихинском переулке,2012-03-13,,['recPrDrobUuRrCB6x'],,,оккупай,локальный протест,градостроительная,градозащитная,институциональный протест,['recTGscV9qYyCYw0p'],3,,"Большой Козихинский пер, д 25",http://ovdinfo.org/express-news/209
40,Одиночные пикеты в поддержку участниц «Pussy Riot»,2012-03-14,,['recPrDrobUuRrCB6x'],,,одиночный пикет,политический протест,политзаключенные,Pussy Riot,активистский протест,,1,,"у здания Мосгорсуда, улица Богородский Вал, 8",http://ovdinfo.org/express-news/210
41,Акция против строительных работ в Большом Козихинском переулке,2012-03-14,,['recPrDrobUuRrCB6x'],,,оккупай,локальный протест,градостроительная,градозащитная,институциональный протест,['recTGscV9qYyCYw0p'],4,,"Большой Козихинский пер, д 25",http://ovdinfo.org/express-news/211
42,Одиночные пикеты в поддержку Сурена Газаряна и Евгения Витишко,2012-03-17,,['recPrDrobUuRrCB6x'],,,одиночный пикет,политический протест,политзаключенные,Дело Витишко и Газаряна о порче забора,активистский протест,,28,,Площадь Революции,http://ovdinfo.org/express-news/218
43,Прогулки с белыми лентами,2012-03-18,,['recPrDrobUuRrCB6x'],,,в движении,политический протест,выборы,,институциональный протест,['recqhdSmCWM3cT8rI'],13,,Красная площадь,http://ovdinfo.org/express-news/240
44,Пикет «против наглой лжи НТВ»,2012-03-18,,['recPrDrobUuRrCB6x'],,,собрание,политический протест,свобода слова,против цензуры,стихийный протест,,95,,"у телецентра «Останкино», улица Академика Королева, 12",http://ovdinfo.org/article/zaderzhannye-na-stikhiinom-pikete-protiv-nagloi-lzhi-telekanala-ntv
45,Одиночный пикет против лжи НТВ,2012-03-20,,['recPrDrobUuRrCB6x'],,,одиночный пикет,политический протест,свобода слова,против цензуры,активистский протест,,1,,"у телецентра «Останкино», улица Академика Королева, 12",http://ovdinfo.org/express-news/257
46,"Пикет против займов, рекламирующихся «Почтой России»",2012-03-21,"Пикет против займов под огромные проценты, рекламирующихся через отделения «Почты России».",['recPrDrobUuRrCB6x'],,,собрание,групповой протест,узкоэкономические требования,экономика,активистский протест,,5,,"у главного офиса «Почты России», Варшавское шоссе, 37",http://ovdinfo.org/express-news/261
47,Пикет памяти Сергея Магнитского,2012-03-24,,['recPrDrobUuRrCB6x'],,,собрание,политический протест,политзаключенные,,активистский протест,,2,,"у здания МВД, Житная ул., 16",http://ovdinfo.org/express-news/265
48,Прогулки с белыми лентами,2012-03-25,,['recPrDrobUuRrCB6x'],,,в движении,политический протест,выборы,,институциональный протест,['recqhdSmCWM3cT8rI'],33,,Красная площадь,"http://ovdinfo.org/express-news/266, http://ovdinfo.org/express-news/267"
50,Встреча оргкомитета «За честные выборы»,2012-03-31,,['recPrDrobUuRrCB6x'],,,собрание,политический протест,выборы,,институциональный протест,['reckIDN9MSFn5VztY'],2,,Пушкинская площадь,http://ovdinfo.org/express-news/271
49,Стратегия-31,2012-03-31,,['recPrDrobUuRrCB6x'],,,собрание,политический протест,свобода собраний,Стратегия-31,институциональный протест,['receb3xd5M7x38vN3'],64,,Триумфальная площадь,http://ovdinfo.org/article/zaderzhannye-31-marta-na-triumfalnoi-spisok
52,Прогулки с белыми лентами,2012-04-01,,['recPrDrobUuRrCB6x'],,,в движении,политический протест,выборы,,институциональный протест,['recqhdSmCWM3cT8rI'],89,,Красная площадь,http://ovdinfo.org/article/zaderzhaniya-1-aprelya-na-krasnoi-ploshchadi
51,Флешмоб «Против призыва - за контрактную армию» ,2012-04-01,,['recPrDrobUuRrCB6x'],,,акция,политический протест,другое,,институциональный протест,['recVrjdj2FD3ePOdy'],6,,Старый арбат,http://www.yabloko.ru/regnews/Moscow/2012/04/01_0
53,Одиночные пикеты с призывом к властям выполнять обязательства по капремонту домов,2012-04-06,,['recPrDrobUuRrCB6x'],,,одиночный пикет,групповой протест,жилье,,институциональный протест,['recQzIOQJXNzjXJ4z'],8,,"у Государственной Думы, ул. Охотный ряд, д. 1",http://ovdinfo.org/express-news/328
54,Прогулки с белыми лентами,2012-04-08,,['recPrDrobUuRrCB6x'],,,в движении,политический протест,выборы,,институциональный протест,['recqhdSmCWM3cT8rI'],3,,Красная площадь,http://ovdinfo.org/express-news/332
55,Акция «Белое Метро»,2012-04-08,,['recPrDrobUuRrCB6x'],,,акция,политический протест,выборы,,активистский протест,,4,,м Площадь Революции,"http://ovdinfo.org/express-news/334, https://www.facebook.com/events/261632360595659/"
56,Пикет в поддержку Олега Шеина,2012-04-10,Пикетирование представительства Астрахани в поддержку Олега Шеина.,['recPrDrobUuRrCB6x'],,,собрание,политический протест,выборы,,стихийный протест,,1,,"у представительства Астрахани, Проспект Мира, д. 3, стр. 1",http://ovdinfo.org/express-news/339
57,Пикеты работников завода «Камов»,2012-04-10,,['recPrDrobUuRrCB6x'],,,одиночный пикет,политический протест,против власти,,стихийный протест,['recsyAoFJMpNAaLlL'],6,,Красная площадь,http://ovdinfo.org/express-news/340
58,Акция «Белая дума»,2012-04-11,,['recPrDrobUuRrCB6x'],,,собрание,политический протест,выборы,,стихийный протест,,16,,"у Государственной Думы, ул. Охотный ряд, д. 1","http://ovdinfo.org/express-news/342, http://ovdinfo.org/express-news/343, http://ovdinfo.org/express-news/344, http://www.vedomosti.ru/politics/news/2012/04/11/udalcova_oshtra"
59,Прогулки с белыми лентами,2012-04-15,,['recPrDrobUuRrCB6x'],,,в движении,политический протест,выборы,,институциональный протест,['recqhdSmCWM3cT8rI'],3,,Красная площадь,http://ovdinfo.org/express-news/348
60,Акция против поддержки правительством добычи нефти и газа в Арктике,2012-04-17,Активисты Greenpeace и четыре белых медведя растянули баннер у входа в отель «Ренессанс Монарх».,['recPrDrobUuRrCB6x'],,,акция,политический протест,экология,,институциональный протест,['rec5QR5aGgYC8fUoD'],23,,"у отеля «Ренессанс Монарх», 31A стр.1, Ленинградский проспект","http://ovdinfo.org/express-news/350, http://www.greenpeace.org/russia/ru/news/2012/17-04-2012-Arctic-oil-conference/"
61,Акция «Судебный фестиваль имени Pussy Riot»,2012-04-19,,['recPrDrobUuRrCB6x'],,,собрание,политический протест,политзаключенные,Pussy Riot,стихийный протест,,27,,"у Таганского районного суда, Марксистский переулок, 1/32",http://ovdinfo.org/article/zaderzhaniya-na-aktsii-v-podderzhku-pussy-riot-u-taganskogo-suda
62,Акция «Фотопрогулка по Тверской»,2012-04-19,,['recPrDrobUuRrCB6x'],,,акция,политический протест,против власти,,активистский протест,,7,,Тверская улица,"http://ovdinfo.org/express-news/366, http://www.novayagazeta.ru/news/56161.html"
63,Прогулки с белыми лентами,2012-04-22,,['recPrDrobUuRrCB6x'],,,в движении,политический протест,выборы,,институциональный протест,['recqhdSmCWM3cT8rI'],5,,Красная площадь,"http://ovdinfo.org/express-news/378, http://ovdinfo.org/express-news/381, http://ovdinfo.org/express-news/380"
66,Раздача листовок,2012-04-29,,['recPrDrobUuRrCB6x'],,,агитация,политический протест,против власти,,институциональный протест,['recqhdSmCWM3cT8rI'],1,,м.Охотный ряд,http://ovdinfo.org/express-news/390
64,Акция «молебен в защиту Pussy Riot»,2012-04-29,,['recPrDrobUuRrCB6x'],,,акция,политический протест,политзаключенные,Pussy Riot,активистский протест,['recxO7HbW22Z8wvRd'],3,,"у Храма Христа Спасителя, ул Волхонка, д. 15","http://ovdinfo.org/express-news/388, http://www.novayagazeta.ru/news/56425.html"
65,Прогулки с белыми лентами,2012-04-29,,['recPrDrobUuRrCB6x'],,,в движении,политический протест,выборы,,институциональный протест,['recqhdSmCWM3cT8rI'],6,,Красная площадь,http://ovdinfo.org/express-news/387
67,Раздача листовок,2012-05-02,,['recPrDrobUuRrCB6x'],,,агитация,политический протест,против власти,,институциональный протест,['reckIDN9MSFn5VztY'],5,,м.Комсомольская,http://ovdinfo.org/express-news/397
68,Митинг против застройки парка 40-летия ВЛКСМ,2012-05-03,Задержание активиста за раздачу листовок.,['recPrDrobUuRrCB6x'],True,,собрание,локальный протест,градостроительная,,стихийный протест,,1,,"Проспект Вернадского, д. 5",http://ovdinfo.org/express-news/398
69,Акция «Не пустим вора в Кремль»,2012-05-06,,['recPrDrobUuRrCB6x'],,,акция,политический протест,против власти,,активистский протест,,202,,Манежная площадь,http://ovdinfo.org/article/zaderzhaniya-v-moskve-06052012
70,«Марш миллионов»,2012-05-06,,['recPrDrobUuRrCB6x'],True,,в движении,политический протест,против власти,,институциональный протест,['reckIDN9MSFn5VztY'],449,,Болотная Площадь,http://ovdinfo.org/article/zaderzhaniya-v-moskve-06052012
71,Акция «Белый город»,2012-05-07,,['recPrDrobUuRrCB6x'],,,в движении,политический протест,против власти,,институциональный протест,['recVlOlDGwvLiLu3R'],508,,"Манежная площадь, Новая площадь, Чистопрудный бульвар, Гоголевский бульвар, Никитский бульвар",http://ovdinfo.org/article/zaderzhaniya-v-moskve-7-maya-2012
72,Прогулки по бульварам,2012-05-08,,['recPrDrobUuRrCB6x'],,,в движении,политический протест,против власти,,стихийный протест,,331,,"Чистопрудный бульвар, Лубянская площадь, ул. Старый Арбат, Патриаришие пруды, Пушкинская площадь, Тверская улица",http://ovdinfo.org/article/zaderzhaniya-v-moskve-8-9-maya-2012
73,Прогулки по бульварам,2012-05-09,,['recPrDrobUuRrCB6x'],,,в движении,политический протест,против власти,,стихийный протест,,35,,"Баррикадная улица, Лубянская площадь, Александровский сад","http://ovdinfo.org/express-news/545, http://ovdinfo.org/express-news/546"
74,Пикет у спецприемника в защиту Навального и Удальцова,2012-05-10,,['recPrDrobUuRrCB6x'],,,собрание,политический протест,политзаключенные,,активистский протест,,2,,"у спецприемника для административно задержанных, Симферопольский бульвар, 2Г",http://ovdinfo.org/express-news/552
75,Прогулки по бульварам,2012-05-15,,['recPrDrobUuRrCB6x'],,,оккупай,политический протест,против власти,,стихийный протест,,1,,Чистопрудный бульвар,http://ovdinfo.org/express-news/561
76,Прогулки по бульварам,2012-05-15,,['recPrDrobUuRrCB6x'],,,оккупай,политический протест,против власти,,стихийный протест,,4,,Никитский бульвар,http://ovdinfo.org/express-news/562
78,Лагерь «Оккупайабай»,2012-05-16,,['recPrDrobUuRrCB6x'],,,оккупай,политический протест,против власти,,стихийный протест,,28,,"Чистопрудный бульвар, Баррикадная улица","http://ovdinfo.org/article/razgon-lagerya-okkupaiabai, http://ovdinfo.org/express-news/569"
77,Лагерь «Оккупайабай»,2012-05-16,,['recPrDrobUuRrCB6x'],,,оккупай,политический протест,против власти,,стихийный протест,,33,,Баррикадная улица,"http://ovdinfo.org/express-news/578, http://ovdinfo.org/express-news/581, http://ovdinfo.org/express-news/579, http://ovdinfo.org/express-news/583"
79,Лагерь «Оккупайабай»,2012-05-17,,['recPrDrobUuRrCB6x'],,,оккупай,политический протест,против власти,,стихийный протест,,12,,Баррикадная улица,"http://ovdinfo.org/express-news/589, http://ovdinfo.org/express-news/590"
81,Пикет в поддержку Сергея Удальцова,2012-05-18,,['recPrDrobUuRrCB6x'],,,собрание,политический протест,политзаключенные,,активистский протест,,1,,"у здания ГУВД России, ул Петровка, 38",http://ovdinfo.org/express-news/597
80,Лагерь «Оккупайабай»,2012-05-18,,['recPrDrobUuRrCB6x'],,,оккупай,политический протест,против власти,,стихийный протест,,2,,Баррикадная улица,http://ovdinfo.org/express-news/596
83,Прогулки по бульварам,2012-05-19,,['recPrDrobUuRrCB6x'],,,оккупай,политический протест,против власти,,стихийный протест,,13,,Никитский бульвар,http://ovdinfo.org/express-news/613
82,Лагерь «Оккупайарбат»,2012-05-19,,['recPrDrobUuRrCB6x'],,,оккупай,политический протест,против власти,,стихийный протест,,19,,ул Старый Арбат,http://ovdinfo.org/express-news/619
84,Лагерь «Оккупайбаррикады»,2012-05-19,,['recPrDrobUuRrCB6x'],,,оккупай,политический протест,против власти,,стихийный протест,,27,,Баррикадная улица,http://ovdinfo.org/article/razgon-lagerya-na-barrikadnoi
85,Лагерь «Оккупайарбат»,2012-05-20,,['recPrDrobUuRrCB6x'],,,оккупай,политический протест,против власти,,стихийный протест,,14,,ул Старый Арбат,http://ovdinfo.org/express-news/627
86,Лагерь «Оккупайбаррикады»,2012-05-21,,['recPrDrobUuRrCB6x'],,,оккупай,политический протест,против власти,,стихийный протест,,22,,Баррикадная улица,http://ovdinfo.org/express-news/631
87,Лагерь «Оккупайарбат»,2012-05-21,,['recPrDrobUuRrCB6x'],,,оккупай,политический протест,против власти,,стихийный протест,,1,,ул Старый Арбат,http://ovdinfo.org/express-news/633
89,Лагерь «Оккупайбаррикады»,2012-05-22,,['recPrDrobUuRrCB6x'],,,оккупай,политический протест,против власти,,активистский протест,,1,,Баррикадная улица,http://ovdinfo.org/express-news/638
88,Пикет против закона о митингах,2012-05-22,,['recPrDrobUuRrCB6x'],,,собрание,политический протест,свобода собраний,против закона о митингах,стихийный протест,,6,,"у Государственной Думы, ул. Охотный ряд, д. 1",http://ovdinfo.org/express-news/636
90,Лагерь «Оккупайабай»,2012-05-25,,['recPrDrobUuRrCB6x'],,,оккупай,политический протест,против власти,,стихийный протест,,2,,Чистопрудный бульвар,http://ovdinfo.org/express-news/643
91,Лагерь «Оккупайарбат»,2012-05-27,,['recPrDrobUuRrCB6x'],,,оккупай,политический протест,против власти,,стихийный протест,,39,,ул Старый Арбат,"http://ovdinfo.org/express-news/655, http://ovdinfo.org/express-news/656, http://ovdinfo.org/express-news/657, http://ovdinfo.org/express-news/661"
93,Гей-парад,2012-05-27,,['recPrDrobUuRrCB6x'],,,собрание,групповой протест,гендерные права,,активистский протест,,30,,"у мэрии Москвы, Тверская ул, д 13, у здания Московской Думы, Петровка, д 22",http://ovdinfo.org/express-news/649
92,Лагерь «Оккупайарбат»,2012-05-27,,['recPrDrobUuRrCB6x'],,,оккупай,политический протест,против власти,,стихийный протест,,3,,ул Старый Арбат,"http://ovdinfo.org/express-news/647, http://ovdinfo.org/express-news/648"
95,Акция «Оккупаймур»,2012-05-28,,['recPrDrobUuRrCB6x'],,,собрание,политический протест,политзаключенные,Болотное дело,стихийный протест,,10,,"у здания ГУВД России, ул Петровка, 38","http://ovdinfo.org/express-news/673, http://ovdinfo.org/express-news/674"
94,Лагерь «Оккупайсуд»,2012-05-28,,['recPrDrobUuRrCB6x'],,,оккупай,политический протест,политзаключенные,Pussy Riot,активистский протест,,4,,"у здания Мосгорсуда, улица Богородский Вал, 8",http://ovdinfo.org/express-news/668
97,Одиночные агитационные пикеты «Другой России»,2012-05-29,,['recPrDrobUuRrCB6x'],,,одиночный пикет,политический протест,против власти,,институциональный протест,['reciOKrlvhSbIhHMl'],4,,Пушкинская площадь,http://ovdinfo.org/express-news/682
96,Акция «Оккупаймур»,2012-05-29,,['recPrDrobUuRrCB6x'],,,собрание,политический протест,политзаключенные,Болотное дело,стихийный протест,,4,,"у здания ГУВД России, ул Петровка, 38",http://ovdinfo.org/express-news/681
98,Раздача листовок с призывом придти на «Марш Миллионов» 12 июня,2012-05-30,,['recPrDrobUuRrCB6x'],,,агитация,политический протест,против власти,,институциональный протест,,1,,м Проспект Вернадского,http://ovdinfo.org/express-news/683
99,Стратегия-31,2012-05-31,,['recPrDrobUuRrCB6x'],,,собрание,политический протест,свобода собраний,Стратегия-31,институциональный протест,['receb3xd5M7x38vN3'],133,,Триумфальная площадь,http://ovdinfo.org/article/zaderzhaniya-na-triumfalnoi-31-maya-2012
101,Лагерь «Оккупайарбат»,2012-06-02,,['recPrDrobUuRrCB6x'],,,оккупай,политический протест,против власти,,стихийный протест,,9,,ул Старый Арбат,http://ovdinfo.org/express-news/711
100,Лагерь «Оккупайабай»,2012-06-02,,['recPrDrobUuRrCB6x'],,,оккупай,политический протест,против власти,,стихийный протест,,5,,Чистопрудный бульвар,"http://ovdinfo.org/express-news/713, http://ovdinfo.org/express-news/715"
102,Расклейка стикеров с призывом придти на «Марш Миллионов» 12 июня,2012-06-03,,['recPrDrobUuRrCB6x'],,,агитация,политический протест,против власти,,институциональный протест,,2,,"ул Твардовского, 2","http://ovdinfo.org/express-news/719, https://echo.msk.ru/blog/sazonpro/895392-echo/"
103,Пикет «Россия без Путина»,2012-06-03,,['recPrDrobUuRrCB6x'],True,,собрание,политический протест,против власти,,институциональный протест,['reciOKrlvhSbIhHMl'],1,,м Новокузнецкая,http://ovdinfo.org/express-news/722
104,Расклейка стикеров с призывом придти на «Марш Миллионов» 12 июня,2012-06-04,,['recPrDrobUuRrCB6x'],,,агитация,политический протест,против власти,,активистский протест,,1,,м Пушкинская,http://ovdinfo.org/express-news/723
